,pricing,size,address,link
15,"$200,000","5 bds2 ba1,056 sqft - House for sale","16 Matthews Pl, Brooklyn, NY 11236",https://www.zillow.com/homedetails/16-Matthews-Pl-Brooklyn-NY-11236/30778141_zpid/
16,"$500,000",2 bds1 ba629 sqft - Condo for sale,"458 E 25th St #102, Brooklyn, NY 11226",https://www.zillow.com/homedetails/458-E-25th-St-102-Brooklyn-NY-11226/2064287235_zpid/
17,"$2,788,000","4 bds4 ba3,960 sqft - Townhouse for sale","68 Sterling St, Brooklyn, NY 11225",https://www.zillow.com/homedetails/68-Sterling-St-Brooklyn-NY-11225/30595088_zpid/
18,"$720,000",2 bds1 ba-- sqft - Condo for sale,"130 Saint Edwards St APT 3B, Brooklyn, NY 11201",https://www.zillow.com/homedetails/130-Saint-Edwards-St-APT-3B-Brooklyn-NY-11201/84634246_zpid/
19,"$2,150,000","5 bds4 ba2,400 sqft - Multi-family home for sale","410 Decatur St, Brooklyn, NY 11233",https://www.zillow.com/homedetails/410-Decatur-St-Brooklyn-NY-11233/30606116_zpid/
20,"$2,900,000","5 bds5 ba2,944 sqft - House for sale","2318 Avenue P, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2318-Avenue-P-Brooklyn-NY-11229/30727037_zpid/
21,"$750,000",4 bds2 ba-- sqft - Coming soon,"579 East 84th Street, Canarsie, NY 11236",https://www.zillow.com/homedetails/579-E-84th-St-Brooklyn-NY-11236/30766964_zpid/
22,"$2,788,000","4 bds4 ba3,960 sqft - Townhouse for sale","68 Sterling St, Brooklyn, NY 11225",https://www.zillow.com/homedetails/68-Sterling-St-Brooklyn-NY-11225/30595088_zpid/
23,"$189,000",1 bd1 ba800 sqft - Condo for sale,"1170 Ocean Pkwy #F4, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1170-Ocean-Pkwy-F4-Brooklyn-NY-11230/2067950397_zpid/
24,"$1,895,000","4 bds3 ba2,436 sqft - Condo for sale","24 8th Ave APT 1B, Brooklyn, NY 11217",https://www.zillow.com/homedetails/24-8th-Ave-APT-1B-Brooklyn-NY-11217/245046832_zpid/
25,"$350,000","3 bds3 ba1,200 sqft - House for sale","595 Glenmore Ave, Brooklyn, NY 11207",https://www.zillow.com/homedetails/595-Glenmore-Ave-Brooklyn-NY-11207/30638650_zpid/
26,"$969,000","3 bds2 ba1,890 sqft - House for sale","2316 Avenue T, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2316-Avenue-T-Brooklyn-NY-11229/30743413_zpid/
27,"$525,000","1 bd1 ba5,500 sqft - Condo for sale","85 8th Ave #4, Brooklyn, NY 11215",https://www.zillow.com/homedetails/85-8th-Ave-4-Brooklyn-NY-11215/30586862_zpid/
28,"$599,000","3 bds2 ba1,250 sqft - Condo for sale","2928 W 5th St APT 6P, Brooklyn, NY 11224",https://www.zillow.com/homedetails/2928-W-5th-St-APT-6P-Brooklyn-NY-11224/245016908_zpid/
29,"$2,395,000","4 bds4 ba2,505 sqft - Townhouse for sale","1449 Dean St, Brooklyn, NY 11213",https://www.zillow.com/homedetails/1449-Dean-St-Brooklyn-NY-11213/30591229_zpid/
30,"$850,000","2 bds2 ba1,320 sqft - Condo for sale","1273 Dekalb Ave #1, Brooklyn, NY 11221",https://www.zillow.com/homedetails/1273-Dekalb-Ave-1-Brooklyn-NY-11221/300076726_zpid/
